[2026-04-10T01:42:58Z] === ENRICH ITERATION 1 START | repo=typescript-eslint/typescript-eslint sha=5311ed31 ===
[2026-04-10T01:42:58Z] [iter=1] PHASE START: enrich repo=typescript-eslint/typescript-eslint sha=5311ed31 runlog=/home/runner/work/forx/forx/storage/aggregate/lsp/logs/5311ed31-enrich-iter-001.log output=/home/runner/work/forx/forx/storage/aggregate/lsp/5311ed312eadf4e238324f2726ae0b1f3f2206e6.nq.gz
[2026-04-10T01:43:28Z] [iter=1] Step 1: Loading AST into disk-backed store mem_mb=84 MB
[2026-04-10T01:44:14Z] [iter=1] AST store loaded triples=5072944 load_secs=44 mem_mb=1181 MB
[2026-04-10T01:44:14Z] [iter=1] Step 2: Finding LSP targets mem_mb=1181 MB
[2026-04-10T01:44:17Z] [iter=1] LSP targets found call_sites=22746 imports=5095 extends=420 implements=14 secs=3
[2026-04-10T01:44:20Z] [iter=1] Step 2.7: Building position index (one-shot, shared across resolvers) mem_mb=1181 MB
[2026-04-10T01:44:47Z] [iter=1] Position index built positions=373916 nodes_with_types=409894 secs=27 mem_mb=1181 MB
[2026-04-10T01:44:47Z] [iter=1] Step 3: Starting LSP resolution mem_mb=1181 MB already_completed_types=[] already_completed_files=0
[2026-04-10T01:44:47Z] [iter=1] Resolving target type target_type=call_site count=22746
[2026-04-10T01:44:47Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=1.8 files_done=0 resolved=0 errors=0 current=packages/eslint-plugin/src/rules/return-await.ts
[2026-04-10T01:46:28Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=3.5 files_done=1 resolved=1 errors=47 current=packages/scope-manager/src/referencer/TypeVisitor.ts
[2026-04-10T01:48:49Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=5.9 files_done=2 resolved=1 errors=114 current=packages/scope-manager/tests/eslint-scope/add-globals.test.ts
[2026-04-10T01:49:53Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=6.9 files_done=3 resolved=1 errors=144 current=packages/scope-manager/tests/eslint-scope/es6-iteration-scope.test.ts
[2026-04-10T01:50:32Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=7.6 files_done=4 resolved=1 errors=163 current=packages/scope-manager/tests/lib.test.ts
[2026-04-10T01:51:14Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=8.3 files_done=5 resolved=1 errors=183 current=packages/eslint-plugin/src/rules/class-methods-use-this.ts
[2026-04-10T01:52:05Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=9.1 files_done=6 resolved=1 errors=208 current=packages/eslint-plugin/tests/rules/no-unused-vars/no-unused-vars-eslint.test.ts
[2026-04-10T01:57:26Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=14.5 files_done=7 resolved=1 errors=364 current=packages/typescript-estree/src/check-modifiers.ts
[2026-04-10T01:59:31Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=16.5 files_done=8 resolved=5 errors=425 current=packages/scope-manager/tests/types/variable-definition.test.ts
[2026-04-10T02:00:04Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=17.1 files_done=9 resolved=5 errors=441 current=packages/eslint-plugin-internal/src/rules/no-multiple-lines-of-errors.ts
[2026-04-10T02:04:14Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=21.3 files_done=12 resolved=5 errors=562 current=packages/rule-tester/tests/RuleTester.test.ts
[2026-04-10T02:07:58Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=25.0 files_done=13 resolved=5 errors=671 current=packages/utils/tests/eslint-utils/nullThrows.test.ts
[2026-04-10T02:10:02Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=27.1 files_done=15 resolved=5 errors=731 current=packages/type-utils/src/isTypeReadonly.ts
[2026-04-10T02:12:08Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=29.2 files_done=16 resolved=7 errors=792 current=packages/eslint-plugin/src/rules/no-empty-object-type.ts
[2026-04-10T02:12:47Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=29.8 files_done=17 resolved=7 errors=811 current=packages/typescript-estree/src/create-program/describeFilePath.ts
[2026-04-10T02:37:10Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=54.2 files_done=19 resolved=18 errors=1522 current=packages/type-utils/src/isSymbolFromDefaultLibrary.ts
[2026-04-10T02:43:06Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=60.1 files_done=22 resolved=18 errors=1694 current=packages/typescript-estree/tests/lib/semanticInfo.test.ts
[2026-04-10T02:46:54Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=63.9 files_done=23 resolved=19 errors=1804 current=packages/scope-manager/tests/eslint-scope/es6-destructuring-assignments.test.ts
[2026-04-10T02:53:21Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=70.4 files_done=24 resolved=19 errors=1989 current=packages/eslint-plugin/src/rules/ban-ts-comment.ts
[2026-04-10T02:54:12Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=71.2 files_done=25 resolved=19 errors=2014 current=packages/scope-manager/tests/eslint-scope/es6-import.test.ts
[2026-04-10T02:54:43Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=71.8 files_done=26 resolved=19 errors=2029 current=packages/type-utils/tests/containsAllTypesByName.test.ts
[2026-04-10T02:58:01Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=75.1 files_done=28 resolved=19 errors=2125 current=packages/rule-tester/src/RuleTester.ts
[2026-04-10T03:05:46Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=82.8 files_done=29 resolved=34 errors=2351 current=packages/eslint-plugin/tests/index.test.ts
[2026-04-10T03:06:23Z] [iter=1] HEARTBEAT target_type=call_site elapsed_min=83.4 files_done=31 resolved=37 errors=2369 current=packages/eslint-plugin/src/rules/naming-convention.ts
